from,to,routeid,routekm,clusterkm,size,tostate
1,AA40,RG1,10,5277.67,7826.00178850598,190.7,AK
2,AA40,RG1,9,3638.722,7826.00178850598,190.7,CA
3,AA40,RG1,8,3080.104,7826.00178850598,190.7,CA
4,AA40,RG1,7,703.56,7826.00178850598,190.7,NE
5,AA40,RG1,6,2259.268,7826.00178850598,190.7,NE
6,AA40,RG1,5,3311.568,7826.00178850598,190.7,CO
7,AA40,RG1,4,3108.676,7826.00178850598,190.7,NE
8,AA40,RG1,3,NA,7826.00178850598,190.7,HI
9,AA40,RG1,2,466.414,7826.00178850598,190.7,ID
10,AA40,RG1,1,4311.061,7826.00178850598,190.7,AK
11,AA39,RG1,10,4571.561,547402.630251915,23725.028,AK
12,AA39,RG1,9,5062.789,547402.630251915,23725.028,CA
13,AA39,RG1,8,4504.171,547402.630251915,23725.028,CA
14,AA39,RG1,7,2301.103,547402.630251915,23725.028,NE
15,AA39,RG1,6,3683.596,547402.630251915,23725.028,NE
16,AA39,RG1,5,4735.635,547402.630251915,23725.028,CO
17,AA39,RG1,4,4532.743,547402.630251915,23725.028,NE
18,AA39,RG1,3,NA,547402.630251915,23725.028,HI
19,AA39,RG1,2,1241.713,547402.630251915,23725.028,ID
20,AA39,RG1,1,3604.952,547402.630251915,23725.028,AK
21,AA38,RG1,10,6133.749,134537.636679623,171954.11999212,AK
22,AA38,RG1,9,4423.814,134537.636679623,171954.11999212,CA
23,AA38,RG1,8,3865.196,134537.636679623,171954.11999212,CA
24,AA38,RG1,7,1825.657,134537.636679623,171954.11999212,NE
25,AA38,RG1,6,2309.967,134537.636679623,171954.11999212,NE
26,AA38,RG1,5,4096.66,134537.636679623,171954.11999212,CO
27,AA38,RG1,4,3893.768,134537.636679623,171954.11999212,NE
28,AA38,RG1,3,NA,134537.636679623,171954.11999212,HI
29,AA38,RG1,2,923.46,134537.636679623,171954.11999212,ID
30,AA38,RG1,1,5167.141,134537.636679623,171954.11999212,AK
31,AA37,RG1,10,5600.595,367457.871373645,231635.349229552,AK
32,AA37,RG1,9,5039.044,367457.871373645,231635.349229552,CA
33,AA37,RG1,8,4480.426,367457.871373645,231635.349229552,CA
34,AA37,RG1,7,2346.565,367457.871373645,231635.349229552,NE
35,AA37,RG1,6,3123.943,367457.871373645,231635.349229552,NE
36,AA37,RG1,5,4711.89,367457.871373645,231635.349229552,CO
37,AA37,RG1,4,4508.998,367457.871373645,231635.349229552,NE
38,AA37,RG1,3,NA,367457.871373645,231635.349229552,HI
39,AA37,RG1,2,1351.564,367457.871373645,231635.349229552,ID
40,AA37,RG1,1,4633.986,367457.871373645,231635.349229552,AK
41,AA36,RG1,10,6904.497,18933.3398959384,4460.381,AK
42,AA36,RG1,9,2531.862,18933.3398959384,4460.381,CA
43,AA36,RG1,8,2150.608,18933.3398959384,4460.381,CA
44,AA36,RG1,7,1344.72,18933.3398959384,4460.381,NE
45,AA36,RG1,6,449.334,18933.3398959384,4460.381,NE
46,AA36,RG1,5,2061.316,18933.3398959384,4460.381,CO
47,AA36,RG1,4,1905.852,18933.3398959384,4460.381,NE
48,AA36,RG1,3,NA,18933.3398959384,4460.381,HI
49,AA36,RG1,2,2247.125,18933.3398959384,4460.381,ID
50,AA36,RG1,1,5937.888,18933.3398959384,4460.381,AK
51,AA35,RG1,10,5763.182,33618.4442557966,17002.613,AK
52,AA35,RG1,9,3228.685,33618.4442557966,17002.613,CA
53,AA35,RG1,8,2670.067,33618.4442557966,17002.613,CA
54,AA35,RG1,7,630.528,33618.4442557966,17002.613,NE
55,AA35,RG1,6,1688.464,33618.4442557966,17002.613,NE
56,AA35,RG1,5,2901.531,33618.4442557966,17002.613,CO
57,AA35,RG1,4,2698.639,33618.4442557966,17002.613,NE
58,AA35,RG1,3,NA,33618.4442557966,17002.613,HI
59,AA35,RG1,2,791.963,33618.4442557966,17002.613,ID
60,AA35,RG1,1,4796.574,33618.4442557966,17002.613,AK
61,AA34,RG1,10,6075.845,2398.67111767116,144.105,AK
62,AA34,RG1,9,3713.446,2398.67111767116,144.105,CA
63,AA34,RG1,8,3154.828,2398.67111767116,144.105,CA
64,AA34,RG1,7,1115.288,2398.67111767116,144.105,NE
65,AA34,RG1,6,1813.968,2398.67111767116,144.105,NE
66,AA34,RG1,5,3277.067,2398.67111767116,144.105,CO
67,AA34,RG1,4,3074.175,2398.67111767116,144.105,NE
68,AA34,RG1,3,NA,2398.67111767116,144.105,HI
69,AA34,RG1,2,752.57,2398.67111767116,144.105,ID
70,AA34,RG1,1,5109.237,2398.67111767116,144.105,AK
71,AA33,RG1,10,6361.602,33106.1037591678,84815.457,AK
72,AA33,RG1,9,4233.642,33106.1037591678,84815.457,CA
73,AA33,RG1,8,3723.432,33106.1037591678,84815.457,CA
74,AA33,RG1,7,1860.457,33106.1037591678,84815.457,NE
75,AA33,RG1,6,1976.418,33106.1037591678,84815.457,NE
76,AA33,RG1,5,3774.101,33106.1037591678,84815.457,CO
77,AA33,RG1,4,3571.209,33106.1037591678,84815.457,NE
78,AA33,RG1,3,NA,33106.1037591678,84815.457,HI
79,AA33,RG1,2,1151.313,33106.1037591678,84815.457,ID
80,AA33,RG1,1,5394.994,33106.1037591678,84815.457,AK
81,AA32,RG1,10,5669.172,323064.742516823,209977.160802413,AK
82,AA32,RG1,9,5107.621,323064.742516823,209977.160802413,CA
83,AA32,RG1,8,4549.003,323064.742516823,209977.160802413,CA
84,AA32,RG1,7,2415.141,323064.742516823,209977.160802413,NE
85,AA32,RG1,6,3062.886,323064.742516823,209977.160802413,NE
86,AA32,RG1,5,4780.466,323064.742516823,209977.160802413,CO
87,AA32,RG1,4,4577.575,323064.742516823,209977.160802413,NE
88,AA32,RG1,3,NA,323064.742516823,209977.160802413,HI
89,AA32,RG1,2,1420.14,323064.742516823,209977.160802413,ID
90,AA32,RG1,1,4702.563,323064.742516823,209977.160802413,AK
91,AA31,RG1,10,6015.251,303588.500666062,45879.331,AK
92,AA31,RG1,9,5035.52,303588.500666062,45879.331,CA
93,AA31,RG1,8,4476.901,303588.500666062,45879.331,CA
94,AA31,RG1,7,2437.362,303588.500666062,45879.331,NE
95,AA31,RG1,6,2830.513,303588.500666062,45879.331,NE
96,AA31,RG1,5,4628.196,303588.500666062,45879.331,CO
97,AA31,RG1,4,4425.304,303588.500666062,45879.331,NE
98,AA31,RG1,3,NA,303588.500666062,45879.331,HI
99,AA31,RG1,2,1535.165,303588.500666062,45879.331,ID
100,AA31,RG1,1,5048.642,303588.500666062,45879.331,AK
101,AA30,RG1,10,5811.477,178538.026930265,37095.279,AK
102,AA30,RG1,9,3248.783,178538.026930265,37095.279,CA
103,AA30,RG1,8,2690.165,178538.026930265,37095.279,CA
104,AA30,RG1,7,650.626,178538.026930265,37095.279,NE
105,AA30,RG1,6,1617.957,178538.026930265,37095.279,NE
106,AA30,RG1,5,2879.425,178538.026930265,37095.279,CO
107,AA30,RG1,4,2676.533,178538.026930265,37095.279,NE
108,AA30,RG1,3,NA,178538.026930265,37095.279,HI
109,AA30,RG1,2,840.258,178538.026930265,37095.279,ID
110,AA30,RG1,1,4844.868,178538.026930265,37095.279,AK
111,AA29,RG1,10,6113.564,1002591.39750301,242937.1038,AK
112,AA29,RG1,9,4893.781,1002591.39750301,242937.1038,CA
113,AA29,RG1,8,4335.163,1002591.39750301,242937.1038,CA
114,AA29,RG1,7,2295.624,1002591.39750301,242937.1038,NE
115,AA29,RG1,6,2706.297,1002591.39750301,242937.1038,NE
116,AA29,RG1,5,4486.458,1002591.39750301,242937.1038,CO
117,AA29,RG1,4,4283.566,1002591.39750301,242937.1038,NE
118,AA29,RG1,3,NA,1002591.39750301,242937.1038,HI
119,AA29,RG1,2,1393.427,1002591.39750301,242937.1038,ID
120,AA29,RG1,1,5146.956,1002591.39750301,242937.1038,AK
121,AA28,RG1,10,4944.515,72040.6625110908,14296.787,AK
122,AA28,RG1,9,5068.225,72040.6625110908,14296.787,CA
123,AA28,RG1,8,4509.607,72040.6625110908,14296.787,CA
124,AA28,RG1,7,2375.746,72040.6625110908,14296.787,NE
125,AA28,RG1,6,3548.839,72040.6625110908,14296.787,NE
126,AA28,RG1,5,4741.071,72040.6625110908,14296.787,CO
127,AA28,RG1,4,4538.179,72040.6625110908,14296.787,NE
128,AA28,RG1,3,NA,72040.6625110908,14296.787,HI
