states,abbrev,CO2lbskWh ,CH4lbskWh ,N2OlbskWh ,SO2lbskWh ,NOxlbskWh ,HglbskWh ,,,,,,,
Alabama,AL,1.399,2.39E-05,2.28E-05,0.006671,0.001867,4.21E-08,,,,,,,
Alaska ,AK,1.199,2.77E-05,7.24E-06,0.001237,0.003909,1.80E-09,,,,,,,
Arizona ,AZ,1.246,1.68E-05,1.65E-05,0.001078,0.001596,1.56E-08,,,,,,,
Arkansas ,AR,1.268,2.68E-05,2.20E-05,0.003029,0.00157,2.25E-08,,,,,,,
California ,CA,0.598,3.14E-05,4.48E-06,0.000432,0.000409,2.11E-09,,,,,,,
Colorado ,CO,1.91,2.42E-05,2.81E-05,0.002678,0.002726,1.73E-08,,,,,,,
Connecticut ,CT,0.73,6.30E-05,1.23E-05,0.002474,0.000869,1.67E-08,,,,,,,
Delaware ,DE,1.907,2.60E-05,2.72E-05,0.008444,0.002784,4.21E-08,,,,,,,
District of Columbia ,DC,2.94,1.26E-04,2.53E-05,0.010511,0.004487,,,,,,,,
Florida ,FL,1.329,4.34E-05,1.71E-05,0.003771,0.002132,1.10E-08,,,,,,,
Georgia ,GA,1.483,2.10E-05,2.44E-05,0.009572,0.001644,2.90E-08,,,,,,,
Hawaii ,HI,1.632,1.09E-04,2.23E-05,0.008315,0.005017,1.23E-08,,,,,,,
Idaho ,ID,0.148,1.43E-05,2.63E-06,0.000266,0.000146,,,,,,,,
Illinois ,IL,1.17,1.37E-05,1.93E-05,0.003071,0.001295,4.51E-08,,,,,,,
Indiana ,IN,2.168,2.51E-05,3.60E-05,0.011687,0.003265,4.76E-08,,,,,,,
Iowa ,IA,1.883,2.22E-05,3.12E-05,0.006074,0.002429,5.34E-08,,,,,,,
Kansas ,KS,1.819,2.12E-05,3.00E-05,0.004884,0.002974,4.69E-08,,,,,,,
Kentucky ,KT,2.215,2.59E-05,3.74E-05,0.00827,0.003814,3.96E-08,,,,,,,
Louisiana ,LA,1.144,2.45E-05,1.23E-05,0.002047,0.001431,1.34E-08,,,,,,,
Maine ,ME,0.558,2.07E-04,2.98E-05,0.001969,0.0012,2.96E-09,,,,,,,
Maryland ,MD,1.414,3.49E-05,2.45E-05,0.012732,0.002436,4.10E-08,,,,,,,
Massachusetts ,MA,1.267,6.85E-05,1.73E-05,0.003965,0.001073,1.58E-08,,,,,,,
Michigan,MI,1.498,3.00E-05,2.55E-05,0.006527,0.002154,3.28E-08,,,,,,,
Minnesota,MN,1.609,4.51E-05,2.91E-05,0.003761,0.003214,3.06E-08,,,,,,,
Mississippi,MS,1.305,2.32E-05,1.67E-05,0.003049,0.002096,1.39E-08,,,,,,,
Missouri,MO,1.884,2.19E-05,3.12E-05,0.006278,0.00253,4.54E-08,,,,,,,
Montana,MT,1.706,2.12E-05,2.91E-05,0.003245,0.003256,3.83E-08,,,,,,,
Nebraska,NE,1.509,1.75E-05,2.50E-05,0.004435,0.002667,2.35E-08,,,,,,,
Nevada,NV,1.228,1.96E-05,1.06E-05,0.000562,0.001499,1.58E-08,,,,,,,
New Hampshire,NH,0.701,6.58E-05,1.51E-05,0.00419,0.000681,2.64E-09,,,,,,,
New Jersey,NJ,0.74,2.53E-05,9.15E-06,0.002816,0.000772,1.40E-08,,,,,,,
New Mexico,NM,1.891,2.33E-05,2.90E-05,0.001567,0.004223,6.75E-08,,,,,,,
New York,NY,0.796,2.83E-05,8.97E-06,0.002184,0.000824,1.16E-08,,,,,,,
North Carolina,NC,1.305,2.00E-05,2.22E-05,0.0064,0.001118,2.86E-08,,,,,,,
North Dakota,ND,2.358,2.55E-05,3.79E-05,0.009248,0.004778,7.56E-08,,,,,,,
Ohio,OJ,1.911,2.29E-05,3.21E-05,0.013259,0.003313,5.10E-08,,,,,,,
Oklahoma,OK,1.57,2.28E-05,1.93E-05,0.003929,0.002543,2.93E-08,,,,,,,
Oregon,OR,0.434,1.83E-05,5.32E-06,0.000669,0.000542,3.81E-09,,,,,,,
Pennsylvania,PA,1.277,2.55E-05,2.11E-05,0.009934,0.001909,5.16E-08,,,,,,,
Rhode Island,RI,0.96,1.91E-05,1.93E-06,0.000031,0.00025,,,,,,,,
South Carolina,SC,0.959,1.69E-05,1.63E-05,0.003644,0.001007,1.26E-08,,,,,,,
South Dakota,SD,1.297,1.57E-05,2.03E-05,0.003634,0.004114,1.50E-08,,,,,,,
Tennessee,TN,1.434,1.88E-05,2.46E-05,0.005388,0.002394,3.00E-08,,,,,,,
Texas,TX,1.382,2.01E-05,1.57E-05,0.002631,0.000907,2.59E-08,,,,,,,
Utah,UT,2.046,2.47E-05,3.24E-05,0.001399,0.003633,8.03E-09,,,,,,,
Vermont,VT,0.004,7.96E-05,1.06E-05,0.000016,0.000242,,,,,,,,
Virginia,VA,1.203,3.79E-05,2.05E-05,0.005859,0.001994,1.68E-08,,,,,,,
Washington,WA,0.274,1.04E-05,4.59E-06,0.000132,0.000322,6.98E-09,,,,,,,
West Virginia,WV,2.079,2.38E-05,3.53E-05,0.009198,0.003535,5.66E-08,,,,,,,
Wisconsin,WI,1.682,2.85E-05,2.81E-05,0.005003,0.001985,3.93E-08,,,,,,,
Wyoming,WY,2.366,2.70E-05,4.00E-05,0.004033,0.003804,4.30E-08,,,,,,,
US average,,1.367,2.65E-05,2.08E-05,0.004992,0.001873,2.88E-08,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
