Facility_Name ,Address,City,County ,State
Colonie (T) Sanitary Landfill (01S26) ,1319 New Loudon Road,Cohoes,Albany ,NY
Albany Rapp Road SLF (01S02) ,525 Rapp Road North,Albany,Albany ,NY
Hyland Landfill (02S17) ,6653 Herdman Road,Angelica,Allegany ,NY
Allegany County Landfill (02S15) ,7 Court St ,Belmont,Alleghany ,NY
Broome County Landfill (04S07) ,286 County Road 73,Binghamton,Broome ,NY
Auburn Landfill No. 2 (06S14) ,311 North Division Street,Auburn,Cayuga ,NY
Chautauqua Landfill (07S12) ,3889 Towerville Road,Jamestown,Chautauqua ,NY
Chemung County Sanitary Landfill (08S02) ,1690 Lake Street,Elmira,Chemung ,NY
Chenango County Landfill (09S16) ,Countermarsh Road,Greene,Chenango ,NY
Clinton County Landfill (10S20) ,958 Gen Leroy Manor Rd,Dannemora,Clinton ,NY
Cortland County Landfill Westside Extension (12S10) ,137 Pendleton Street,Cortland,Cortland ,NY
Delaware County SWMF (13S18) ,32230 New York 10,Walton,Delaware ,NY
Chaffee Landfill (15S14) ,10860 Olean Road,Chaffee,Erie ,NY
Franklin County Regional Landfill (17S21) ,"Westville Rd, Constable",Constable,Franklin ,NY
Fulton County Landfill (18S20) ,847 Mud Road,Johnstown,Fulton ,NY
Development Authority of the North Country Landfill (23S13) ,317 Washington St # 414,Watertown,Jefferson ,NY
Madison County West Side Extension LF (27S15) ,6663 Buyea Road,Canastota,Madison ,NY
Mill Seat SLF (28S31) ,1845 Emerson Street,Rochester,Monroe ,NY
High Acres West. Exp. LF (28S32) ,425 Perinton Parkway,Fairport,Monroe ,NY
Modern Landfill (32S30) ,1445 Pletcher Road,Model City,Niagara ,NY
Allied/BFI Niagara Falls Landfill (32S11) ,5600 Niagara Falls Boulevard,Niagara Falls,Niagara ,NY
Oneida Herkimer Solid Waste Authority Landfill (33S15) ,1600 Genesee Street,Utica,Oneida ,NY
Ontario County SLF (35S11) ,1879 State Route 5 and 20,Stanley,Ontario ,NY
Bristol Hill SLF (38S14) ,3125 New York 3,Fulton,Oswego ,NY
Saratoga County LF* ,486 Kobor Road,Gansevoort,Saratoga ,NY
Seneca Meadows LF (50S08) ,1786 Salcman Road,Waterloo,Seneca ,NY
Steuben Sanitary Landfill (51S21) ,5632 Turnpike Road,Bath,Steuben ,NY
Sullivan County Landfill (53S03) ,91 Landfill Dr,Monticello,Sullivan ,NY
